"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
16119,0,47434,4324,37,4,/videos/189724238,"Brown Girls -- Trailer",141,2016-11-01T01:03:06+00:00,Array,0,79,106,1723326,2168617,0
1334,6,5461,599,1,0,/videos/172604203,"Brujos (2017) -- Teaser Scenes",202,2016-06-28T16:29:17+00:00,Array,0,81,156,208945,256892,0
996,0,3022,64,2,0,/videos/164959147,"Open TV Presents: Lipstick City by Shea Couleé",556,2016-05-02T05:50:23+00:00,Array,0,54,272,271206,496940,0
740,0,1447,29,0,0,/videos/143933380,"Open TV Presents: Southern for Pussy",283,2015-10-28T22:38:55+00:00,Array,0,56,135,100633,177690,0
321,0,1148,113,0,0,/videos/147648438,"Full Out -- Season One Trailer",105,2015-12-02T21:48:19+00:00,Array,0,69,66,21428,31055,0
301,0,806,24,1,0,/videos/152854976,"Full Out -- Episode 1",903,2016-01-24T03:25:13+00:00,Array,0,65,518,156186,240250,0
244,0,680,13,0,0,/videos/179804836,"#2QIK: Roy Kinsey & MSMRJR (Part Two)",667,2016-08-22T19:51:20+00:00,Array,0,17,93,22822,130077,0
220,4,1958,70,0,0,/videos/175566185,"The Basic Tea on Brujos",282,2016-07-20T15:44:38+00:00,Array,0,66,179,39548,59784,0
200,0,441,42,0,0,/videos/121810540,"You're So Talented, Chapter One",341,2015-03-10T18:04:57+00:00,Array,0,72,240,48188,66156,0
197,0,577,15,0,0,/videos/154795991,"Full Out -- Episode 2",1349,2016-02-09T23:59:39+00:00,Array,0,78,989,194845,248216,0
187,0,1401,12,0,0,/videos/158069617,"Full Out -- Episode 4",566,2016-03-07T19:39:45+00:00,Array,0,82,451,84498,102626,0
183,0,387,54,1,0,/videos/177457277,"Two Queens in a Kitchen - Official Trailer",83,2016-08-03T19:32:34+00:00,Array,0,69,52,9531,13772,0
174,0,710,13,0,0,/videos/156421353,"Full Out -- Episode 3",688,2016-02-23T15:24:23+00:00,Array,0,78,503,87640,112144,0
151,0,341,17,0,0,/videos/160115755,"Full Out -- Episode 5",1202,2016-03-23T16:14:37+00:00,Array,0,78,935,141276,180448,0
146,0,199,31,1,0,/videos/179722291,"#2QIK: Elijah McKinnon & AJ Christian (Part One)",473,2016-08-22T07:38:34+00:00,Array,0,55,259,37877,67639,0
121,0,160,24,1,0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459,2015-03-24T18:39:13+00:00,Array,0,76,340,41241,53817,0
117,0,313,9,0,0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521,2016-02-04T16:44:07+00:00,Array,0,66,325,38111,57310,0
81,0,106,13,0,0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397,2015-04-07T22:23:45+00:00,Array,0,77,308,24985,32157,0
80,0,117,2,0,0,/videos/164162980,"Bronx Cunt Tour -- Episode 5",1086,2016-04-25T21:07:23+00:00,Array,0,41,278,22278,53214,0
79,0,127,5,0,0,/videos/178429087,"Been T/Here: In the Knowing of Me",780,2016-08-11T05:46:14+00:00,Array,0,33,189,14973,45240,0
70,0,98,11,1,0,/videos/174734258,"Been T/Here -- Riot Grrrl Heart",721,2016-07-14T21:40:54+00:00,Array,0,53,359,25138,46865,0
66,0,81,3,0,0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266,2015-05-19T23:04:13+00:00,Array,0,80,195,12873,15960,0
66,0,88,11,0,0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668,2016-02-18T14:25:09+00:00,Array,0,77,516,34117,44151,0
65,0,104,15,0,0,/videos/162385131,"You're So Talented, Season Two - Chapter Six",568,2016-04-11T15:02:31+00:00,Array,0,74,403,26225,35216,0
65,0,78,15,0,0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292,2015-05-05T15:32:57+00:00,Array,0,78,221,14396,18396,0
63,0,171,18,0,0,/videos/179704860,"#2QIK: Cqqchifruit & Darling Shear (Part One)",276,2016-08-22T03:02:25+00:00,Array,0,73,202,12766,17450,0
62,0,75,11,0,0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295,2015-04-13T17:46:12+00:00,Array,0,80,232,14425,17995,0
62,0,76,12,0,0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477,2015-06-03T14:13:37+00:00,Array,0,81,371,23056,28143,0
61,0,87,9,0,0,/videos/159158733,"You're So Talented, Season Two - Chapter Four",546,2016-03-16T02:57:07+00:00,Array,0,74,409,24972,33306,0
56,0,88,9,0,0,/videos/160747140,"You're So Talented, Season Two - Chapter Five",520,2016-03-29T14:20:48+00:00,Array,0,76,375,21048,27560,0
54,0,81,7,0,0,/videos/157297665,"You're So Talented, Season Two - Chapter Three",555,2016-03-01T15:34:39+00:00,Array,0,75,404,21836,28910,0
41,0,67,3,0,0,/videos/136670475,"Futurewomen, The Origins -- Episode 1",805,2015-08-18T23:17:14+00:00,Array,0,66,445,18276,27370,0
40,0,168,3,0,0,/videos/146666127,"Open TV Presents: Let Go and Let God",1376,2015-11-23T17:13:07+00:00,Array,0,42,485,19438,45408,0
36,0,63,2,0,0,/videos/140615202,"Futurewomen, The Characters -- Episode 2",915,2015-09-28T02:11:20+00:00,Array,0,56,456,16424,29311,0
36,0,66,21,0,0,/videos/161135550,"NIC Kay's Bronx Cunt Tour -- Trailer",68,2016-04-01T03:39:53+00:00,Array,0,78,49,1766,2244,0
35,2,54,5,0,0,/videos/174737229,"Been T/Here -- Lessons Learned",735,2016-07-14T22:01:40+00:00,Array,0,77,485,17007,22050,0
35,0,165,13,1,0,/videos/143466703,"You're So Talented: Season 2 Official Trailer",119,2015-10-24T13:58:49+00:00,Array,0,74,91,3194,4284,0
33,0,87,6,0,0,/videos/179705250,"#2QIK: Ricardo Gamboa &  James T. Green (Part One)",612,2016-08-22T03:08:34+00:00,Array,0,61,367,12114,19584,0
32,0,47,5,1,0,/videos/176492543,"Been T/Here -- Practicing Love",896,2016-07-27T17:44:21+00:00,Array,0,64,556,17792,27776,0
32,0,52,6,0,0,/videos/175640352,"Been T/Here -- Suddenly, It All Changed",813,2016-07-21T02:12:10+00:00,Array,0,68,572,18319,26861,0
32,0,101,8,0,0,/videos/179705167,"#2QIK: Cqqchifruit & Darling Shear (Part Two)",309,2016-08-22T03:07:25+00:00,Array,0,78,229,7334,9299,0
32,0,78,6,0,0,/videos/162141163,"Bronx Cunt Tour -- Episode 1",500,2016-04-08T23:44:29+00:00,Array,0,60,302,9686,16000,0
31,0,117,2,0,0,/videos/134807299,"Open TV Presents: Nupita Obama Creates Vogua",731,2015-07-29T04:46:53+00:00,Array,0,63,463,14353,22661,0
31,0,91,8,0,0,/videos/179804458,"#2QIK: Roy Kinsey & MSMRJR (Part One)",736,2016-08-22T19:48:20+00:00,Array,0,53,368,11434,21344,0
30,0,50,3,0,0,/videos/150002138,"Futurewomen: The Quest -- Episode 3",842,2015-12-25T07:13:40+00:00,Array,0,51,380,11407,22007,0
28,0,39,11,0,0,/videos/177571136,"Been T/Here: Art is Essential",943,2016-08-04T15:36:07+00:00,Array,0,75,665,18637,24544,0
26,0,232,18,0,0,/videos/121910493,"Teaser -- Nupita Obama Creates Vogua",55,2015-03-11T16:54:25+00:00,Array,0,66,29,767,1155,0
26,0,65,8,0,0,/videos/179706662,"#2QIK: Sam Bailey  &  Kiam Marcelo Junio (Part One)",258,2016-08-22T03:30:27+00:00,Array,0,70,182,4754,6734,0
23,0,55,2,0,0,/videos/162147393,"Bronx Cunt Tour -- Episode 2",609,2016-04-09T01:28:13+00:00,Array,0,58,202,4659,7917,0
22,0,32,2,0,0,/videos/177614686,"Been There: The Best Friend I Ever Had",836,2016-08-04T20:43:03+00:00,Array,0,60,483,10641,17577,0
18,0,63,4,0,0,/videos/179706411,"#2QIK: Ricardo Gamboa &  James T. Green (Part Two)",508,2016-08-22T03:27:09+00:00,Array,0,64,348,6272,9652,0
